PdmarticleID;Bezeichnung;"Externer Schlüssel";StateID;"Passende Ventile";"+ /";"Passende Antriebe";"Product family 2 from Actuator";Preisempfehlung;"Regeln für Ventil Dimsionierung";"Export Media manually changed";"Export Media";6986;6987;Typ;Produktfamilie;"Schliessdruck Δps";"Differenzdruck Δpmax Wert";"kv (Werkseinstellung)";Pfad;Versions-Nr
107640;R538+NR24A-MP;R538+NR24A-MP;;R538;+;NR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR24A-MP;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";43
107641;R538/NR24A-MP;R538/NR24A-MP;;R538;/;NR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR24A-MP;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107642;R538+NR24A-S;R538+NR24A-S;;R538;+;NR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR24A-S;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107643;R538/NR24A-S;R538/NR24A-S;;R538;/;NR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR24A-S;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";43
107644;R538+NR24A-SR;R538+NR24A-SR;;R538;+;NR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR24A-SR;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";44
107645;R538/NR24A-SR;R538/NR24A-SR;;R538;/;NR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR24A-SR;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";44
107648;R538+NRC24A-SR;R538+NRC24A-SR;;R538;+;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NRC24A-SR;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107649;R538/NRC24A-SR;R538/NRC24A-SR;;R538;/;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NRC24A-SR;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107678;R540+NR230A;R540+NR230A;;R540;+;NR230A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540+NR230A;Umschaltkugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";44
107679;R540/NR230A;R540/NR230A;;R540;/;NR230A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540/NR230A;Umschaltkugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";44
107680;R540+NR230A-S;R540+NR230A-S;;R540;+;NR230A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540+NR230A-S;Umschaltkugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107681;R540/NR230A-S;R540/NR230A-S;;R540;/;NR230A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540/NR230A-S;Umschaltkugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107682;R540+NR24A;R540+NR24A;;R540;+;NR24A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540+NR24A;Umschaltkugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";45
