PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
107641;R538/NR24A-MP;R538/NR24A-MP;;R538;/;NR24A-MP;"Communicative actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR24A-MP;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107642;R538+NR24A-S;R538+NR24A-S;;R538;+;NR24A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR24A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107643;R538/NR24A-S;R538/NR24A-S;;R538;/;NR24A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR24A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107644;R538+NR24A-SR;R538+NR24A-SR;;R538;+;NR24A-SR;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR24A-SR;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107645;R538/NR24A-SR;R538/NR24A-SR;;R538;/;NR24A-SR;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR24A-SR;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107648;R538+NRC24A-SR;R538+NRC24A-SR;;R538;+;NRC24A-SR;"Fast runner";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NRC24A-SR;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107649;R538/NRC24A-SR;R538/NRC24A-SR;;R538;/;NRC24A-SR;"Fast runner";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NRC24A-SR;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107678;R540+NR230A;R540+NR230A;;R540;+;NR230A;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540+NR230A;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107679;R540/NR230A;R540/NR230A;;R540;/;NR230A;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540/NR230A;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107680;R540+NR230A-S;R540+NR230A-S;;R540;+;NR230A-S;"Standard actuator";0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540+NR230A-S;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107681;R540/NR230A-S;R540/NR230A-S;;R540;/;NR230A-S;"Standard actuator";0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540/NR230A-S;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107682;R540+NR24A;R540+NR24A;;R540;+;NR24A;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540+NR24A;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";44
107683;R540/NR24A;R540/NR24A;;R540;/;NR24A;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540/NR24A;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";44
107686;R540+NR24A-MP;R540+NR24A-MP;;R540;+;NR24A-MP;"Communicative actuator";0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540+NR24A-MP;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107687;R540/NR24A-MP;R540/NR24A-MP;;R540;/;NR24A-MP;"Communicative actuator";0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540/NR24A-MP;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107688;R540+NR24A-S;R540+NR24A-S;;R540;+;NR24A-S;"Standard actuator";0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540+NR24A-S;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107689;R540/NR24A-S;R540/NR24A-S;;R540;/;NR24A-S;"Standard actuator";0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R540/NR24A-S;"Change-over ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107722;R548+NR230A;R548+NR230A;;R548;+;NR230A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R548+NR230A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107723;R548/NR230A;R548/NR230A;;R548;/;NR230A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R548/NR230A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107724;R548+NR230A-S;R548+NR230A-S;;R548;+;NR230A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R548+NR230A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
